vehicle_id,title,description,availability,state_of_vehicle,condition,price,url,image[0].url,image[1].url,make,model,year,mileage.value,mileage.unit,fuel_type,transmission,body_style,address.addr1,address.city,address.region,address.postal_code,address.country,latitude,longitude
1,RAM 1500 5.7 DC 4X4 LARAMIE AT L13,RAM 1500 5.7 DC 4X4 LARAMIE AT L13,AVAILABLE,USED,OTHER,50000 USD,https://caradvice.com.ar/autos/1,https://api-caradvice.duckdns.org/api/image?path=%2Fopt%2Fcaradvice-media%2Fimages%2Fautos%2F1%2F1745528969893.2a850e23-2bb8-4ce8-92d6-c17839426d51.JPG,"https://api-caradvice.duckdns.org/api/image?path=%2Fopt%2Fcaradvice-media%2Fimages%2Fautos%2F1%2F1745528970007.403acd7c-f361-4b15-8a24-fa7fe7267c43.JPG,https://api-caradvice.duckdns.org/api/image?path=%2Fopt%2Fcaradvice-media%2Fimages%2Fautos%2F1%2F1745528970071.4245db8e-2020-4f64-9657-995fda3917f1.JPG,https://api-caradvice.duckdns.org/api/image?path=%2Fopt%2Fcaradvice-media%2Fimages%2Fautos%2F1%2F1745528970137.48679606-1fd4-4785-9730-3e227e82dd22.JPG,https://api-caradvice.duckdns.org/api/image?path=%2Fopt%2Fcaradvice-media%2Fimages%2Fautos%2F1%2F1745528970202.b290851b-a1ae-412d-b88e-6383ad5c8802.JPG,https://api-caradvice.duckdns.org/api/image?path=%2Fopt%2Fcaradvice-media%2Fimages%2Fautos%2F1%2F1745528970253.1c27bf95-2709-4e09-bc87-2a8490fcd2a0.JPG,https://api-caradvice.duckdns.org/api/image?path=%2Fopt%2Fcaradvice-media%2Fimages%2Fautos%2F1%2F1745528970323.1cd7673e-50c7-4f92-a293-42d7ba5eaf42.JPG,https://api-caradvice.duckdns.org/api/image?path=%2Fopt%2Fcaradvice-media%2Fimages%2Fautos%2F1%2F1745528970367.796b6705-16cc-4baa-99e2-65c4df84e812.JPG,https://api-caradvice.duckdns.org/api/image?path=%2Fopt%2Fcaradvice-media%2Fimages%2Fautos%2F1%2F1745528970442.2195f1e7-205c-4147-9635-e3e3ca8e3ddd.JPG,https://api-caradvice.duckdns.org/api/image?path=%2Fopt%2Fcaradvice-media%2Fimages%2Fautos%2F1%2F1745528970512.72689fc4-c6df-4665-ad9c-a9e8fabae645.JPG,https://api-caradvice.duckdns.org/api/image?path=%2Fopt%2Fcaradvice-media%2Fimages%2Fautos%2F1%2F1745528970591.30310640-f3d8-4e18-9dbb-4b373d2eac6c.JPG",RAM,1500,2020,80000,KM,GASOLINE,AUTOMATIC,PICKUP,Octavio Pinto 3024,Cordoba,Cordoba,5000,AR,-31.4167,-64.1833
2,FIAT CRONOS 1.3 GSE DRIVE L23,FIAT CRONOS 1.3 GSE DRIVE L23,AVAILABLE,USED,OTHER,24000000 ARS,https://caradvice.com.ar/autos/2,https://api-caradvice.duckdns.org/api/image?path=%2Fopt%2Fcaradvice-media%2Fimages%2Fautos%2F2%2F1765983664956.IMG-20251217-WA0097.jpg,"https://api-caradvice.duckdns.org/api/image?path=%2Fopt%2Fcaradvice-media%2Fimages%2Fautos%2F2%2F1765983665121.IMG-20251217-WA0100.jpg,https://api-caradvice.duckdns.org/api/image?path=%2Fopt%2Fcaradvice-media%2Fimages%2Fautos%2F2%2F1765983665234.IMG-20251217-WA0096.jpg,https://api-caradvice.duckdns.org/api/image?path=%2Fopt%2Fcaradvice-media%2Fimages%2Fautos%2F2%2F1765983665447.IMG-20251217-WA0103.jpg,https://api-caradvice.duckdns.org/api/image?path=%2Fopt%2Fcaradvice-media%2Fimages%2Fautos%2F2%2F1765983665727.IMG-20251217-WA0095.jpg,https://api-caradvice.duckdns.org/api/image?path=%2Fopt%2Fcaradvice-media%2Fimages%2Fautos%2F2%2F1765983665987.IMG-20251217-WA0098.jpg,https://api-caradvice.duckdns.org/api/image?path=%2Fopt%2Fcaradvice-media%2Fimages%2Fautos%2F2%2F1765983666151.IMG-20251217-WA0104.jpg,https://api-caradvice.duckdns.org/api/image?path=%2Fopt%2Fcaradvice-media%2Fimages%2Fautos%2F2%2F1765983666231.IMG-20251217-WA0099.jpg,https://api-caradvice.duckdns.org/api/image?path=%2Fopt%2Fcaradvice-media%2Fimages%2Fautos%2F2%2F1765983666372.IMG-20251217-WA0101.jpg,https://api-caradvice.duckdns.org/api/image?path=%2Fopt%2Fcaradvice-media%2Fimages%2Fautos%2F2%2F1765983666559.IMG-20251217-WA0106.jpg,https://api-caradvice.duckdns.org/api/image?path=%2Fopt%2Fcaradvice-media%2Fimages%2Fautos%2F2%2F1765983666739.IMG-20251217-WA0102.jpg",FIAT,CRONOS,2022,61000,KM,GASOLINE,MANUAL,SEDAN,Octavio Pinto 3024,Cordoba,Cordoba,5000,AR,-31.4167,-64.1833
3,VOLKSWAGEN POLO 1.6 HIGHLINE TIPTRONIC 5P,VOLKSWAGEN POLO 1.6 HIGHLINE TIPTRONIC 5P,AVAILABLE,USED,OTHER,28000000 ARS,https://caradvice.com.ar/autos/3,https://api-caradvice.duckdns.org/api/image?path=%2Fopt%2Fcaradvice-media%2Fimages%2Fautos%2F3%2F1764772846115.IMG-20251203-WA0181.jpg,"https://api-caradvice.duckdns.org/api/image?path=%2Fopt%2Fcaradvice-media%2Fimages%2Fautos%2F3%2F1764772846152.IMG-20251203-WA0186.jpg,https://api-caradvice.duckdns.org/api/image?path=%2Fopt%2Fcaradvice-media%2Fimages%2Fautos%2F3%2F1764772846240.IMG-20251203-WA0179.jpg,https://api-caradvice.duckdns.org/api/image?path=%2Fopt%2Fcaradvice-media%2Fimages%2Fautos%2F3%2F1764772846298.IMG-20251203-WA0184.jpg,https://api-caradvice.duckdns.org/api/image?path=%2Fopt%2Fcaradvice-media%2Fimages%2Fautos%2F3%2F1764772846357.IMG-20251203-WA0180.jpg,https://api-caradvice.duckdns.org/api/image?path=%2Fopt%2Fcaradvice-media%2Fimages%2Fautos%2F3%2F1764772846682.IMG-20251203-WA0182.jpg,https://api-caradvice.duckdns.org/api/image?path=%2Fopt%2Fcaradvice-media%2Fimages%2Fautos%2F3%2F1764772846810.IMG-20251203-WA0183.jpg,https://api-caradvice.duckdns.org/api/image?path=%2Fopt%2Fcaradvice-media%2Fimages%2Fautos%2F3%2F1764772846895.IMG-20251203-WA0185.jpg,https://api-caradvice.duckdns.org/api/image?path=%2Fopt%2Fcaradvice-media%2Fimages%2Fautos%2F3%2F1764772846975.IMG-20251203-WA0187.jpg,https://api-caradvice.duckdns.org/api/image?path=%2Fopt%2Fcaradvice-media%2Fimages%2Fautos%2F3%2F1764772847016.IMG-20251203-WA0188.jpg,https://api-caradvice.duckdns.org/api/image?path=%2Fopt%2Fcaradvice-media%2Fimages%2Fautos%2F3%2F1764772847132.IMG-20251203-WA0189.jpg",VOLKSWAGEN,POLO,2021,82000,KM,GASOLINE,AUTOMATIC,HATCHBACK,Octavio Pinto 3024,Cordoba,Cordoba,5000,AR,-31.4167,-64.1833
4,NISSAN KICKS 1.6 EXCLUSIVE CVT L17,NISSAN KICKS 1.6 EXCLUSIVE CVT L17,AVAILABLE,USED,OTHER,26000000 ARS,https://caradvice.com.ar/autos/4,https://api-caradvice.duckdns.org/api/image?path=%2Fopt%2Fcaradvice-media%2Fimages%2Fautos%2F4%2F1761337375863.IMG-20251024-WA0150.jpg,"https://api-caradvice.duckdns.org/api/image?path=%2Fopt%2Fcaradvice-media%2Fimages%2Fautos%2F4%2F1761337375971.IMG-20251024-WA0151.jpg,https://api-caradvice.duckdns.org/api/image?path=%2Fopt%2Fcaradvice-media%2Fimages%2Fautos%2F4%2F1761337376029.IMG-20251024-WA0146.jpg,https://api-caradvice.duckdns.org/api/image?path=%2Fopt%2Fcaradvice-media%2Fimages%2Fautos%2F4%2F1761337376075.IMG-20251024-WA0147.jpg,https://api-caradvice.duckdns.org/api/image?path=%2Fopt%2Fcaradvice-media%2Fimages%2Fautos%2F4%2F1761337376126.IMG-20251024-WA0148.jpg,https://api-caradvice.duckdns.org/api/image?path=%2Fopt%2Fcaradvice-media%2Fimages%2Fautos%2F4%2F1761337376288.IMG-20251024-WA0149.jpg,https://api-caradvice.duckdns.org/api/image?path=%2Fopt%2Fcaradvice-media%2Fimages%2Fautos%2F4%2F1761337376345.IMG-20251024-WA0152.jpg,https://api-caradvice.duckdns.org/api/image?path=%2Fopt%2Fcaradvice-media%2Fimages%2Fautos%2F4%2F1761337376410.IMG-20251024-WA0153.jpg,https://api-caradvice.duckdns.org/api/image?path=%2Fopt%2Fcaradvice-media%2Fimages%2Fautos%2F4%2F1761337376471.IMG-20251024-WA0154.jpg,https://api-caradvice.duckdns.org/api/image?path=%2Fopt%2Fcaradvice-media%2Fimages%2Fautos%2F4%2F1761337376590.IMG-20251024-WA0155.jpg,https://api-caradvice.duckdns.org/api/image?path=%2Fopt%2Fcaradvice-media%2Fimages%2Fautos%2F4%2F1761337376626.IMG-20251024-WA0156.jpg",NISSAN,KICKS,2018,125400,KM,GASOLINE,AUTOMATIC,SUV,Octavio Pinto 3024,Cordoba,Cordoba,5000,AR,-31.4167,-64.1833
5,TOYOTA COROLLA 1.8 XLI L17,TOYOTA COROLLA 1.8 XLI L17,AVAILABLE,USED,OTHER,25500000 ARS,https://caradvice.com.ar/autos/5,https://api-caradvice.duckdns.org/api/image?path=%2Fopt%2Fcaradvice-media%2Fimages%2Fautos%2F5%2F1764086493353.IMG-20251125-WA0296.jpg,"https://api-caradvice.duckdns.org/api/image?path=%2Fopt%2Fcaradvice-media%2Fimages%2Fautos%2F5%2F1764086494003.IMG-20251125-WA0298.jpg,https://api-caradvice.duckdns.org/api/image?path=%2Fopt%2Fcaradvice-media%2Fimages%2Fautos%2F5%2F1764086494316.IMG-20251125-WA0294.jpg,https://api-caradvice.duckdns.org/api/image?path=%2Fopt%2Fcaradvice-media%2Fimages%2Fautos%2F5%2F1764086494498.IMG-20251125-WA0299.jpg,https://api-caradvice.duckdns.org/api/image?path=%2Fopt%2Fcaradvice-media%2Fimages%2Fautos%2F5%2F1764086494695.IMG-20251125-WA0295.jpg,https://api-caradvice.duckdns.org/api/image?path=%2Fopt%2Fcaradvice-media%2Fimages%2Fautos%2F5%2F1764086494876.IMG-20251125-WA0297.jpg,https://api-caradvice.duckdns.org/api/image?path=%2Fopt%2Fcaradvice-media%2Fimages%2Fautos%2F5%2F1764086495062.IMG-20251125-WA0300.jpg,https://api-caradvice.duckdns.org/api/image?path=%2Fopt%2Fcaradvice-media%2Fimages%2Fautos%2F5%2F1764086495166.IMG-20251125-WA0301.jpg,https://api-caradvice.duckdns.org/api/image?path=%2Fopt%2Fcaradvice-media%2Fimages%2Fautos%2F5%2F1764086495235.IMG-20251125-WA0302.jpg,https://api-caradvice.duckdns.org/api/image?path=%2Fopt%2Fcaradvice-media%2Fimages%2Fautos%2F5%2F1764086495433.IMG-20251125-WA0303.jpg,https://api-caradvice.duckdns.org/api/image?path=%2Fopt%2Fcaradvice-media%2Fimages%2Fautos%2F5%2F1764086495558.IMG-20251125-WA0304.jpg",TOYOTA,COROLLA,2018,138500,KM,GASOLINE,MANUAL,SEDAN,Octavio Pinto 3024,Cordoba,Cordoba,5000,AR,-31.4167,-64.1833
7,TOYOTA SW4 TDI SRX AT L16,TOYOTA SW4 TDI SRX AT L16,AVAILABLE,USED,OTHER,39500 USD,https://caradvice.com.ar/autos/7,https://api-caradvice.duckdns.org/api/image?path=%2Fopt%2Fcaradvice-media%2Fimages%2Fautos%2F7%2F1761943731288.IMG-20251031-WA0380.jpg,"https://api-caradvice.duckdns.org/api/image?path=%2Fopt%2Fcaradvice-media%2Fimages%2Fautos%2F7%2F1761943731350.IMG-20251031-WA0382.jpg,https://api-caradvice.duckdns.org/api/image?path=%2Fopt%2Fcaradvice-media%2Fimages%2Fautos%2F7%2F1761943731374.IMG-20251031-WA0381.jpg,https://api-caradvice.duckdns.org/api/image?path=%2Fopt%2Fcaradvice-media%2Fimages%2Fautos%2F7%2F1761943731418.IMG-20251031-WA0384.jpg,https://api-caradvice.duckdns.org/api/image?path=%2Fopt%2Fcaradvice-media%2Fimages%2Fautos%2F7%2F1761943731528.IMG-20251031-WA0379.jpg,https://api-caradvice.duckdns.org/api/image?path=%2Fopt%2Fcaradvice-media%2Fimages%2Fautos%2F7%2F1761943731563.IMG-20251031-WA0383.jpg,https://api-caradvice.duckdns.org/api/image?path=%2Fopt%2Fcaradvice-media%2Fimages%2Fautos%2F7%2F1761943731615.IMG-20251031-WA0385.jpg,https://api-caradvice.duckdns.org/api/image?path=%2Fopt%2Fcaradvice-media%2Fimages%2Fautos%2F7%2F1761943731693.IMG-20251031-WA0386.jpg,https://api-caradvice.duckdns.org/api/image?path=%2Fopt%2Fcaradvice-media%2Fimages%2Fautos%2F7%2F1761943731753.IMG-20251031-WA0387.jpg,https://api-caradvice.duckdns.org/api/image?path=%2Fopt%2Fcaradvice-media%2Fimages%2Fautos%2F7%2F1761943731796.IMG-20251031-WA0388.jpg,https://api-caradvice.duckdns.org/api/image?path=%2Fopt%2Fcaradvice-media%2Fimages%2Fautos%2F7%2F1761943731881.IMG-20251031-WA0389.jpg",TOYOTA,SW4,2018,173800,KM,DIESEL,AUTOMATIC,SUV,Octavio Pinto 3024,Cordoba,Cordoba,5000,AR,-31.4167,-64.1833
8,FIAT CRONOS 1.3 DRIVE L18,FIAT CRONOS 1.3 DRIVE L18,AVAILABLE,USED,OTHER,22000000 ARS,https://caradvice.com.ar/autos/8,https://api-caradvice.duckdns.org/api/image?path=%2Fopt%2Fcaradvice-media%2Fimages%2Fautos%2F8%2F1758120101850.IMG-20250917-WA0100.jpg,"https://api-caradvice.duckdns.org/api/image?path=%2Fopt%2Fcaradvice-media%2Fimages%2Fautos%2F8%2F1758120101864.IMG-20250917-WA0104.jpg,https://api-caradvice.duckdns.org/api/image?path=%2Fopt%2Fcaradvice-media%2Fimages%2Fautos%2F8%2F1758120101870.IMG-20250917-WA0098.jpg,https://api-caradvice.duckdns.org/api/image?path=%2Fopt%2Fcaradvice-media%2Fimages%2Fautos%2F8%2F1758120101982.IMG-20250917-WA0103.jpg,https://api-caradvice.duckdns.org/api/image?path=%2Fopt%2Fcaradvice-media%2Fimages%2Fautos%2F8%2F1758120102055.IMG-20250917-WA0099.jpg,https://api-caradvice.duckdns.org/api/image?path=%2Fopt%2Fcaradvice-media%2Fimages%2Fautos%2F8%2F1758120102100.IMG-20250917-WA0101.jpg,https://api-caradvice.duckdns.org/api/image?path=%2Fopt%2Fcaradvice-media%2Fimages%2Fautos%2F8%2F1758120102244.IMG-20250917-WA0102.jpg,https://api-caradvice.duckdns.org/api/image?path=%2Fopt%2Fcaradvice-media%2Fimages%2Fautos%2F8%2F1758120102306.IMG-20250917-WA0105.jpg,https://api-caradvice.duckdns.org/api/image?path=%2Fopt%2Fcaradvice-media%2Fimages%2Fautos%2F8%2F1758120102336.IMG-20250917-WA0106.jpg,https://api-caradvice.duckdns.org/api/image?path=%2Fopt%2Fcaradvice-media%2Fimages%2Fautos%2F8%2F1758120102385.IMG-20250917-WA0107.jpg,https://api-caradvice.duckdns.org/api/image?path=%2Fopt%2Fcaradvice-media%2Fimages%2Fautos%2F8%2F1758120102408.IMG-20250917-WA0108.jpg",FIAT,CRONOS,2021,79300,KM,GASOLINE,MANUAL,SEDAN,Octavio Pinto 3024,Cordoba,Cordoba,5000,AR,-31.4167,-64.1833
9,TOYOTA LAND CRUISER 4.5 D4-D 200 VX AT,TOYOTA LAND CRUISER 4.5 D4-D 200 VX AT,AVAILABLE,USED,OTHER,75500 USD,https://caradvice.com.ar/autos/9,https://api-caradvice.duckdns.org/api/image?path=%2Fopt%2Fcaradvice-media%2Fimages%2Fautos%2F9%2F1767034736566.WhatsApp%20Image%202025-12-29%20at%2015.48.16%20(1).jpeg,"https://api-caradvice.duckdns.org/api/image?path=%2Fopt%2Fcaradvice-media%2Fimages%2Fautos%2F9%2F1767034736673.WhatsApp%20Image%202025-12-29%20at%2015.48.17%20(1).jpeg,https://api-caradvice.duckdns.org/api/image?path=%2Fopt%2Fcaradvice-media%2Fimages%2Fautos%2F9%2F1767034737026.WhatsApp%20Image%202025-12-29%20at%2015.48.16.jpeg,https://api-caradvice.duckdns.org/api/image?path=%2Fopt%2Fcaradvice-media%2Fimages%2Fautos%2F9%2F1767034737149.WhatsApp%20Image%202025-12-29%20at%2015.48.17.jpeg,https://api-caradvice.duckdns.org/api/image?path=%2Fopt%2Fcaradvice-media%2Fimages%2Fautos%2F9%2F1767034737250.WhatsApp%20Image%202025-12-29%20at%2015.48.15.jpeg,https://api-caradvice.duckdns.org/api/image?path=%2Fopt%2Fcaradvice-media%2Fimages%2Fautos%2F9%2F1767034737350.WhatsApp%20Image%202025-12-29%20at%2015.48.18.jpeg,https://api-caradvice.duckdns.org/api/image?path=%2Fopt%2Fcaradvice-media%2Fimages%2Fautos%2F9%2F1767034737448.WhatsApp%20Image%202025-12-29%20at%2015.48.18%20(1).jpeg,https://api-caradvice.duckdns.org/api/image?path=%2Fopt%2Fcaradvice-media%2Fimages%2Fautos%2F9%2F1767034737575.WhatsApp%20Image%202025-12-29%20at%2015.48.19%20(1).jpeg,https://api-caradvice.duckdns.org/api/image?path=%2Fopt%2Fcaradvice-media%2Fimages%2Fautos%2F9%2F1767034737740.WhatsApp%20Image%202025-12-29%20at%2015.48.19.jpeg,https://api-caradvice.duckdns.org/api/image?path=%2Fopt%2Fcaradvice-media%2Fimages%2Fautos%2F9%2F1767034737835.WhatsApp%20Image%202025-12-29%20at%2015.48.20%20(1).jpeg,https://api-caradvice.duckdns.org/api/image?path=%2Fopt%2Fcaradvice-media%2Fimages%2Fautos%2F9%2F1767034737947.WhatsApp%20Image%202025-12-29%20at%2015.48.20.jpeg",TOYOTA,LAND CRUISER,2013,161500,KM,DIESEL,AUTOMATIC,SUV,Octavio Pinto 3024,Cordoba,Cordoba,5000,AR,-31.4167,-64.1833
12,JEEP COMPASS 2.4 LONGITUDE AT9 OE L17,JEEP COMPASS 2.4 LONGITUDE AT9 OE L17,AVAILABLE,USED,OTHER,37000000 ARS,https://caradvice.com.ar/autos/12,https://api-caradvice.duckdns.org/api/image?path=%2Fopt%2Fcaradvice-media%2Fimages%2Fautos%2F12%2F1764098280680.IMG-20251125-WA0438.jpg,"https://api-caradvice.duckdns.org/api/image?path=%2Fopt%2Fcaradvice-media%2Fimages%2Fautos%2F12%2F1764098280825.IMG-20251125-WA0445.jpg,https://api-caradvice.duckdns.org/api/image?path=%2Fopt%2Fcaradvice-media%2Fimages%2Fautos%2F12%2F1764098280858.IMG-20251125-WA0437.jpg,https://api-caradvice.duckdns.org/api/image?path=%2Fopt%2Fcaradvice-media%2Fimages%2Fautos%2F12%2F1764098280917.IMG-20251125-WA0440.jpg,https://api-caradvice.duckdns.org/api/image?path=%2Fopt%2Fcaradvice-media%2Fimages%2Fautos%2F12%2F1764098280996.IMG-20251125-WA0439.jpg,https://api-caradvice.duckdns.org/api/image?path=%2Fopt%2Fcaradvice-media%2Fimages%2Fautos%2F12%2F1764098281067.IMG-20251125-WA0441.jpg,https://api-caradvice.duckdns.org/api/image?path=%2Fopt%2Fcaradvice-media%2Fimages%2Fautos%2F12%2F1764098281156.IMG-20251125-WA0442.jpg,https://api-caradvice.duckdns.org/api/image?path=%2Fopt%2Fcaradvice-media%2Fimages%2Fautos%2F12%2F1764098281242.IMG-20251125-WA0443.jpg,https://api-caradvice.duckdns.org/api/image?path=%2Fopt%2Fcaradvice-media%2Fimages%2Fautos%2F12%2F1764098281315.IMG-20251125-WA0444.jpg,https://api-caradvice.duckdns.org/api/image?path=%2Fopt%2Fcaradvice-media%2Fimages%2Fautos%2F12%2F1764098281365.IMG-20251125-WA0446.jpg,https://api-caradvice.duckdns.org/api/image?path=%2Fopt%2Fcaradvice-media%2Fimages%2Fautos%2F12%2F1764098281506.IMG-20251125-WA0447.jpg",JEEP,COMPASS,2019,86000,KM,GASOLINE,AUTOMATIC,SUV,Octavio Pinto 3024,Cordoba,Cordoba,5000,AR,-31.4167,-64.1833
13,TOYOTA HILUX 2.4 TDI 4X2 DC DX L16,TOYOTA HILUX 2.4 TDI 4X2 DC DX L16,AVAILABLE,USED,OTHER,33500000 ARS,https://caradvice.com.ar/autos/13,https://api-caradvice.duckdns.org/api/image?path=%2Fopt%2Fcaradvice-media%2Fimages%2Fautos%2F13%2F1765986794453.IMG-20251217-WA0209.jpg,"https://api-caradvice.duckdns.org/api/image?path=%2Fopt%2Fcaradvice-media%2Fimages%2Fautos%2F13%2F1765986794600.IMG-20251217-WA0213.jpg,https://api-caradvice.duckdns.org/api/image?path=%2Fopt%2Fcaradvice-media%2Fimages%2Fautos%2F13%2F1765986794661.IMG-20251217-WA0210.jpg,https://api-caradvice.duckdns.org/api/image?path=%2Fopt%2Fcaradvice-media%2Fimages%2Fautos%2F13%2F1765986794708.IMG-20251217-WA0214.jpg,https://api-caradvice.duckdns.org/api/image?path=%2Fopt%2Fcaradvice-media%2Fimages%2Fautos%2F13%2F1765986794857.IMG-20251217-WA0208.jpg,https://api-caradvice.duckdns.org/api/image?path=%2Fopt%2Fcaradvice-media%2Fimages%2Fautos%2F13%2F1765986794978.IMG-20251217-WA0211.jpg,https://api-caradvice.duckdns.org/api/image?path=%2Fopt%2Fcaradvice-media%2Fimages%2Fautos%2F13%2F1765986795095.IMG-20251217-WA0212.jpg,https://api-caradvice.duckdns.org/api/image?path=%2Fopt%2Fcaradvice-media%2Fimages%2Fautos%2F13%2F1765986795220.IMG-20251217-WA0215.jpg,https://api-caradvice.duckdns.org/api/image?path=%2Fopt%2Fcaradvice-media%2Fimages%2Fautos%2F13%2F1765986795337.IMG-20251217-WA0216.jpg,https://api-caradvice.duckdns.org/api/image?path=%2Fopt%2Fcaradvice-media%2Fimages%2Fautos%2F13%2F1765986795514.IMG-20251217-WA0217.jpg,https://api-caradvice.duckdns.org/api/image?path=%2Fopt%2Fcaradvice-media%2Fimages%2Fautos%2F13%2F1765986795567.IMG-20251217-WA0218.jpg",TOYOTA,HILUX,2018,214000,KM,DIESEL,MANUAL,PICKUP,Octavio Pinto 3024,Cordoba,Cordoba,5000,AR,-31.4167,-64.1833
